reference,intitule_poste,description,experience,divers
189GJVT,Data Engineer F/H,"Nous recherchons pour un de nos clients dans le secteur de l'aéronautique un/une personne assurant le Support DATA H/F. H/FMissions principales
 - Cartographier et analyser les jeux de données existants, leur utilisation et les modèles de gouvernance des données Skywise (ancien et nouveau).
 - Évaluer les impacts et cataloguer les projets concernés, tout en assurant la communication avec les responsables de projet.
 - Accompagner les équipes projet dans la transition vers le nouveau modèle de gouvernance des données.
 - Documenter la traçabilité des données et le glossaire métier pour les ensembles de données industrielles et logistiques.
 - Proposer un plan d'assainissement des données en fonction des informations recueillies. Compétences et expérience requises
 - Expérience significative en analyse métier, idéalement dans le cadre de la gouvernance des données.
 - Connaissance approfondie de la plateforme Skywise (cartographie des données, traçabilité des données, gouvernance des données).
 - Une maîtrise de SAP et SAP HANA est un atout.
 - Connaissance des réglementations externes sur les données (RGPD, contrôle des exportations) et leur impact sur Airbus Commercial.
 - Expérience avérée en gestion de projet et travail en environnement interculturel.
 - Excellentes compétences en communication et capacité à collaborer avec différentes équipes.
 - Bonne gestion des attentes clients et des parties prenantes.
 - Anglais courant (niveau négociation requis).

Compétences spécifiques
 - Conformité des données (niveau de base).
 - Système de gestion de la gouvernance des données (niveau autonome).
 - Bases du contrôle des exportations (niveau autonome).
 - Connaissance des systèmes d'information et des données (niveau autonome).
 - Gestion des parties prenantes (niveau autonome).Vos avantages Synergie:
+10% IFM + 10% CP,
CSE Synergie,
Prime Participation + CET à 6%,
Aides et Services (Mutuelle - Logement - Garde d'enfants...)",5 An(s),Salaire brut : Annuel de 35000.0 Euros à 40000.0 Euros sur 12.0 mois
189GQNP,Data Engineer (H/F),"Vos missions : 

En tant que Data Engineer, vous interviendrez sur plusieurs aspects stratégiques comme : 

-Conception et développement des pipelines de données : Élaborer des architectures de traitement des données performantes et automatisées pour collecter, transformer et stocker les données de différentes sources. 

-Développement et optimisation des solutions BigQuery : Créer et optimiser des requêtes et des modèles de données pour garantir la performance et la fiabilité des analyses. 

-Gestion des infrastructures cloud GCP : Déployer et gérer des solutions de données sur le cloud GCP en assurant leur sécurité. 

-Développement en Python : Utiliser Python pour automatiser les processus de traitement des données et intégrer des solutions analytiques. 

-Documentation et meilleures pratiques : Assurer la rédaction de la documentation technique et participer à la mise en place des bonnes pratiques pour le traitement et l'analyse des données. 

-Support et maintenance : Gérer la mise en production des solutions et apporter un support en cas d'incidents ou d'anomalies. 


Compétences requises : 

- Langages : Python, SQL, DBT, Spark 
- Base de données : PostgreSQL, base de données NoSQL (MongoDB, ELK.) 
- Orchestration : Airflow, Luigi 
- DevOps: Git,CI/CD, Docker, Kubernetes/Nomad, Ansible. 
- Outils Clouds: AWS, GCP, Azure, Snowflake,Databricks. 
- Connaissance des composantes BI dans Azure (Data Factory, Databricks et synapse). 


Profil : 

Vous êtes titulaire d'un diplôme supérieur en informatique ou en Systèmes d'information et vous possédez au moins 3 ans d'expérience significative dans le domaine informatique. 

 
Vos qualités : 

Nous recherchons également des qualités humaines et professionnelles telles que la rigueur, l'organisation, la capacité à prioriser les tâches, l'adaptabilité, l'esprit d'équipe et la force de proposition. 


 Avantages : 

-Mutuelle d'entreprise  

-Tickets restaurant  

-Prise en charge du Navigo 




",3 An(s),Salaire brut : Mensuel de 3500.0 Euros à 4000.0 Euros sur 12.0 moisChèque repasMutuelle
189HSNK,Référent Informatique et Intelligence Artificielle F/H/X (H/F),"Le Recrut'Heure est fier d'accompagner un acteur majeur de la promotion et de la construction immobilière, une PME française implantée en Alsace, engagé dans une transformation numérique et durable, dans le recrutement d'un(e) RÉFÉRENT(E) SI & IA H/F/X.

Pourquoi rejoindre cette entreprise ?
-Une entreprise qui investit dans l'innovation et la digitalisation pour optimiser ses performances et réduire son empreinte carbone
-Un rôle stratégique qui évoluera vers plus de responsabilités et de gestion de projets
-Un environnement dynamique mêlant immobilier, digital et intelligence artificielle

Missions principales :
-Recueillir et analyser les besoins des équipes métiers pour optimiser les outils numériques
-Traduire ces besoins en spécifications fonctionnelles et suivre leur mise en œuvre avec les prestataires IT
-Intégrer et accompagner l'adoption de solutions IA au sein des équipes
-Assurer le suivi des projets SI, en veillant aux coûts, délais et qualité des livrables
-Gérer le support et les évolutions (ticketing, accompagnement des utilisateurs, ateliers de formation)
-Contribuer à la stratégie numérique du groupe en proposant des solutions innovantes et durables",3 An(s),Salaire brut : Annuel de 35000.0 Euros à 40000.0 Euros sur 12.0 moisMutuelleCE Déplacements : Jamais
189HTSB,TAF 2025ALTERNANT RÉDACTEUR MANUELS UTILISATEURS (IA) (H/F),"« employeur présent le mercredi 26 mars au salon TAF Montpellier/Pérols »

Rattaché(e) au Responsable RDI, votre mission principale consiste à automatiser la rédaction des manuels utilisateurs en prenant compte des spécificités client grâce à des outils de documentation techniques basés sur l'intelligence artificielle.

Au quotidien, vos missions principales seront les suivantes :
- Trouver des solutions logicielles basées sur l'IA permettant d'automatiser la rédaction des manuels techniques
- Tester ces nouvelles solutions
- Refondre notre base de manuels avec ces nouvelles solutions
- Rédiger des manuels utilisateurs adaptés aux personnalisations spécifiques de nos clients avec ces nouvelles solutions.
- Collaborer avec les équipes techniques et de développement pour comprendre les spécificités des produits et les besoins des utilisateurs.
- Veiller à ce que les manuels soient clairs, complets et faciles à comprendre, en prenant en compte les attentes des utilisateurs finaux.
- Mettre à jour les documents en fonction des évolutions des produits et des retours utilisateurs.

Profil recherché

Vous êtes actuellement étudiant(e) en Bac +3 à Bac +5 dans une formation en informatique, IA, ou tout autre domaine technique lié
Vous avez de bonnes compétences rédactionnelles et un goût pour la vulgarisation de concepts techniques complexes.
Vous êtes à l'aise avec les outils de traitement de texte, d'intelligence artificielle ainsi que les outils collaboratifs.
Vous possédez une bonne capacité d'analyse et de compréhension des solutions IA.
Un intérêt pour la pédagogie et l'expérience utilisateur serait un plus.
Vous êtes curieux(se), autonome, et avez une bonne capacité à travailler en mode projet.",Débutant accepté,Salaire brut : Mensuel de 1550.0 Euros sur 12.0 moisChèque repasParticipation/action Déplacements : Jamais
189JDYT,Data manager (H/F),"L'équipe a grandi avec l'ambition d'offrir des expériences de jeu significatives et divertissantes à un large public sur consoles et pc.
Soucieux du bien-être de nos collaborateurs, vous rejoindrez une équipe passionnée, où vous pourrez vous épanouir. Nous portons une attention particulière sur le Work life balance et partageons des valeurs fortes : Créativité, Humilité et Fiabilité.
http://www.digixart.com

Suivez aussi notre quotidien sur Instagram : @digixart_studio.
_____________________

À propos de Digixart
Fondé en 2015, Digixart est un studio de développement de jeux vidéo basé à Montpellier, en France. À l'origine du grand succès Road 96, l'entreprise fait désormais partie de Plaion.

L'équipe s'est agrandie avec l'ambition d'offrir des expériences de jeu engageantes et porteuses de sens à un large public sur consoles et PC.

Axé sur le bien-être de nos employés, vous rejoindrez une équipe passionnée, où vous pourrez vous épanouir. Nous accordons une attention particulière à l'équilibre entre vie professionnelle et personnelle et partageons des valeurs fortes : Créativité, Humilité et Fiabilité.

Suivez notre quotidien sur Instagram : @digixart_studio
 Site web : http://www.digixart.com

Qualifications requises :

DevOps
- Maîtrise des logiciels de gestion de versions (Perforce et Plastic SCM / Unity Version Control en particulier) afin d'assurer la transition de Plastic vers Perforce (équipe, outils, données).
- Automatisation des déploiements et des pipelines CI/CD pour les jeux et les outils internes.
- Construction et déploiement des mises à jour du moteur (UE5).
- Participation aux phases de tests de charge et surveillance de la robustesse des systèmes.
- Collaboration avec les équipes pour résoudre les problèmes liés à la disponibilité, à la latence ou à l'évolutivité.
- Mise en place des meilleures pratiques de sécurité sur l'ensemble des processus DevOps.

IT
- Gestion et maintenance de l'infrastructure informatique de 40 employés.
- Anticipation et commande des machines et accessoires.
- Administration des systèmes et des réseaux.
- Surveillance et gestion des performances des systèmes.
- Gestion du télétravail.
- Gestion des données de projet.
- Gestion des serveurs, du réseau intranet, des machines de build et des dev kits.
- Gestion de la sécurité et application des règles.

Compétences globales
- Rester informé des nouvelles technologies et solutions logicielles.

Compétences appréciées
- SN-DBS
- Connaissances en programmation serveur
- Connaissance de Visual Studio
- Connaissances en bases de données
- Gestion à la fois des logiciels et du matériel

Soft skills
- Adaptabilité
- Capacité à passer facilement d'une tâche à une autre
- Curiosité
- Rigueur
- Réactivité

Localisation
* Nous privilégions un candidat déjà à Montpellier ou prêt à s'y installer.

Ce que nous offrons
- Un environnement de travail agréable et confortable
- Une excellente ambiance au sein de l'équipe
- Un équilibre entre vie professionnelle et vie personnelle
- Horaires flexibles de 35h/semaine
- Télétravail possible 2 jours par semaine",12 Mois,Salaire brut : Mensuel de 2400.0 Euros à 3500.0 Euros sur 12.0 moisMutuelleChèque repas Déplacements : Jamais
189JKXD,EXPERT CLOUD (H/F),"Nous recherchons un Expert Cloud pour accompagner la conception, la migration et l'optimisation de nos infrastructures Cloud. Vous serez en charge de définir l'architecture, d'assurer la sécurité et d'optimiser les performances des plateformes.

Lieu : Paris, France
Démarrage : ASAP
Expérience requise : Minimum 5 ans

Compétences requises
-Cloud Computing : AWS, Azure, GCP
-Infrastructure as Code (IaC) : Terraform, Ansible, CloudFormation
-Kubernetes & Conteneurisation : Kubernetes, Docker, Helm
-Sécurité Cloud : IAM, Zero Trust, chiffrement des données
-Observabilité & Monitoring : Prometheus, Grafana, Datadog
-Automatisation & DevOps : CI/CD (Jenkins, GitHub Actions, GitLab CI)
-FinOps : Optimisation des coûts Cloud",5 An(s),Salaire brut : Annuel de 45000.0 Euros à 65000.0 Euros sur 12.0 mois
189JSGZ,Data Scientist - Deep Learning en Oncologie (H/F),"Dans le cadre d'une création de poste, nous souhaitons renforcer notre Direction des Systèmes d'Information et des Données (DSID) sur un poste de : Data Scientist - Deep Learning en Oncologie (F/H) - CDI - temps plein - statut cadre au forfait jours (205 jours par an).

Contexte :
Alors que les approches de prédictions fondées sur des données de santé multiples et complexes (cliniques, images de tumeurs, moléculaires) sont de plus en plus recherchées, le Centre Léon Bérard (Centre de Lutte contre le Cancer de Lyon) souhaite mettre à profit ses données institutionnelles pour développer de telles approches au service des questions de la cancérologie. L'objectif est de débuter sur un projet structuré sur les tumeurs rares de l'ovaire ayant des jeux de données exhaustifs mais aussi de pouvoir développer des projets annexes sur les tumeurs plus fréquentes comme les tumeurs du poumon.

Le cancer épithélial de l'ovaire (EOC) regroupe des tumeurs variées, dont le carcinome à cellules claires (OCCC), connu pour son mauvais pronostic aux stades avancés en raison d'une forte résistance aux traitements et d'un taux élevé de rechutes. Bien que les immunothérapies aient transformé le traitement de certains cancers, seules 26 % des patientes atteintes d'OCCC répondent favorablement aux traitements anti-PD-L1, ce qui souligne la nécessité d'explorer d'autres mécanismes de résistance et de mieux identifier les patientes répondeuses.

Des mutations spécifiques, comme celles affectant ARID1A, PIK3CA et ZNF217, jouent un rôle clé dans le développement des OCCC et ouvrent des opportunités pour des traitements ciblés. De plus, les différences entre patientes caucasiennes et japonaises, notamment en termes de fréquence et de réponse au traitement, méritent une étude approfondie pour mieux comprendre les facteurs biologiques et génétiques influençant la maladie.

Nous proposons de développer un modèle multimodal basé sur des données combinées : lames anatomopathologiques, données cliniques et RNA-seq. Ce modèle permettra d'évaluer le risque de rechute pour les patientes diagnostiquées à un stade précoce et de personnaliser les stratégies thérapeutiques.

Missions :
- Concevoir, développer et implémenter des modèles de deep learning pour prédire le risque de rechute à partir des données patientes ;
- Travailler avec des données hétérogènes (cliniques, omiques et imagerie) en assurant leur intégration, leur prétraitement, et la gestion de leur qualité ;
- Explorer différentes approches de modélisation, incluant les réseaux de neurones convolutifs (CNN), les réseaux de neurones récurrents (RNN), et d'autres architectures de deep learning adaptées aux données biomédicales ;
- Collaborer avec des équipes de bioinformatique et d'oncologie pour valider et interpréter les résultats des modèles, en garantissant leur pertinence clinique ;
- Rédiger des rapports et des publications scientifiques sur les méthodes et les résultats obtenus.

Profil et Compétences :
- Diplôme de Master en Data Science, Bioinformatique, Biostatistique, ou autre domaine connexe, avec une spécialisation en machine learning et deep learning.
- Expérience avérée dans le développement et l'implémentation de modèles de deep learning, idéalement appliqués aux données de santé.
- Maîtrise des langages Python et R, avec une expertise dans les bibliothèques de deep learning (TensorFlow, PyTorch, etc.)
- Esprit d'équipe et forte capacité d'adaptation dans un environnement multidisciplinaire.
- Ambition de monter en compétence sur le développement de l'IA au service de la cancérologie, gestion de projet de type recherche des données à la publication.
- Curiosité pour les questions de santé liée au cancer, envie de développer différents projets.",1 An(s),Salaire brut : CEA partir de 40k€ Déplacements : Jamais
189KQYH,Chargé de projet Données et Intelligence artificielle (H/F),"Site : François-Mitterrand Quai François-Mauriac Cedex 13 75706 Paris
    Catégorie : A / Durée du contrat : Jusqu'au 30/09/2026
    Fourchette de rémunération : 3802,85 € brut mensuel
    À pourvoir à compter du : 01/05/2025

Missions et activités permanentes

Le/la chargé de projet Données et Intelligence artificielle assurera au sein de la Bibliothèque nationale de France (BnF) et auprès des partenaires du consortium ArGiMi (INA, BnF, Artefakt, Giskard, Mistral AI), le pilotage opérationnel des livrables BnF du projet de « Communs numériques pour une intelligence artificielle générative », lauréat de l'appel à projets France 2030 (www.bnf.fr/fr/les-projets-en-intelligence-artificielle-la-bnf). Il/elle coordonnera notamment la préparation de corpus de données d'entrainement, la spécification de cas d'usage métiers, l'évaluation des résultats et la communication interne et externe relative à la vie du projet.

Il/ elle assurera d'autre part le pilotage métier du projet API Gallica (www.api.bnf.fr) en lien avec le département des Systèmes d'information de la BnF et les experts métiers de la bibliothèque numérique Gallica (www.gallica.bnf.fr). L'activité impliquera notamment d'accompagner les mises en production du nouveau gestionnaire d'API de la BnF, de la nouvelle version des API Gallica IIIF et de porter auprès des utilisateurs les changements induits.

Le/la chargé de projets Données et Intelligence artificielle sera rattaché à la Cellule IA de la BnF, sous la responsabilité du Chef de Mission IA et de l'adjointe à la direction des Services et Réseaux, en charge des questions scientifiques et techniques. La Cellule IA a pour mission de mettre en œuvre la feuille de route IA de la BnF (www.bnf.fr/fr/lintelligence-artificielle-un-axe-strategique). Elle impulse, coordonne et accompagne les projets IA en R&D, expérimentation et industrialisation de la BnF. Elle contribue aux actions de transformation et de communication de l'établissement. Elle est composée de 4 personnes à temps plein ou en délégation de temps.

La Bibliothèque nationale de France (BnF) a pour mission de collecter, préserver et diffuser le patrimoine documentaire national. Les collections de la BnF sont uniques au monde : plusieurs millions de livres et revues, mais aussi de manuscrits, estampes, photographies, cartes et plans, partitions, monnaies, médailles, documents sonores, vidéos, multimédias, décors, costumes, .

La BnF est engagée dans un programme pluriannuel de projets visant à développer sa stratégie data et IA, pour ses métiers et dans le cadre de ses missions. Ces projets s'inscrivent dans le cadre de son Contrat d'objectifs et de performance et de la feuille de route IA de la BnF. Les données impliquées sont principalement produites par l'activité de catalogage et de numérisation de la BnF, soit plus de 12 millions de pages numérisées et 18 millions de métadonnées standardisées par an.

Activités spécifiques
Piloter des tâches projet et assurer une gestion de projet (planning, travail en équipe, accompagnement du changement, communication, formation, évaluation, reporting).

    Rédiger des documents techniques (cahiers des charges, documentation technique).
    Spécifier le développement d'outils dans le domaine du traitement de données.
    Interagir avec les producteurs de donnée internes et avec les communautés d'usage identifiées.
    Tester et évaluer l'implémentation d'outils du domaine du traitement automatique du langage, en particulier les LLM.
    Mener une veille technologique sur le protocole IIIF et ses applications.
    Représentation de la BnF dans des événements en lien avec les projets du poste (colloques, conférences, ateliers...)
    Compétences requises
    Bonne connaissance des enjeux numériques des institutions patrimoniales
    Bonne connaissance du cycle de vie de la donnée dans le secteur du patrimoine ou de la fonction",3 An(s),Salaire brut : Mensuel de 3802.85 Euros sur 12.0 moisRestauration Déplacements : Jamais
189KVNN,PRACTICE MANAGER DATA (H/F),"Vous rejoindrez notre équipe à la Presqu'Ile, dans nos supers locaux avec vue sur nos belles montagnes Grenobloises ! Vous êtes plutôt team vélo - boulot - rando ? où tram - boulot - pain choco ?  Ici, il y en a pour tous les goûts !   

Hardis Group poursuit son développement et recherche son Practice Manager (H/F) au sein de son activité Tech Solutions de Grenoble.  
 
Composée de plus de 100 consultants passionnés, notre Agence accompagne nos clients locaux et nationaux, des grands comptes et de belles ETI locales, avec un positionnement de Pure Player dans les domaines de la Data/IA et de la transformation vers le Cloud, des savoirs-faire en architectures modernes : DevSecOps, API Management et une capacité à maitriser les phases amont et aval d'un projet IT (gestion des exigences et vérification). 

En tant que Practice Manager Data, vous aurez la charge de porter nos offres et superviser les projets aux côtés de nos chefs et directeurs de projets. Sous la responsabilité du Directeur d'Agence, vos missions seront les suivantes : 
- Définition et pilotage de la stratégie de la practice  
- Porter les offres DATA du groupe auprès de nos équipes et de nos clients, prospects. 
- Participer aux avant-ventes en collaboration avec nos Ingénieurs d'Affaires et intervenez aux propositions commerciales 
- Assurer le suivi client en direct sur certains comptes et les relations avec les partenaires 
- Assurer le pilotage complet de projets d'un point de vue macro : financier, organisationnel et humain (gestion d'un PNL) 
- Encadrer les équipes projets composées de Business analystes, Chefs de projets et Ingénieurs développement 
- Prôner et suivre les initiatives de notre Communauté technique en matière d'innovation 
- Participer aux process de recrutement.

Vous justifiez d'au moins 5 ans d'expérience dans la gestion de projets cloud, data ou digitaux. Vous avez également une expérience réussie dans le développement commercial, avec une expertise en transformation numérique, idéalement dans un rôle de Delivery ou Practice Manager. 

Bon communicant, vous démontrez un réel leadership et pilotez en front. Vous aimez la relation client et disposez d'une fibre commerciale. 
Vous avez l'habitude d'être en contact avec une multitude d'interlocuteurs et savez gérer vos priorités. 
Votre curiosité, votre dynamisme et votre proactivité feront les clés de votre succès ! 
  
De notre côté, en plus de faire partie de cette belle aventure, nous vous proposons : 
- Un poste en CDI, dans nos supers locaux en plein cœur de la Presqu'Ile 
- La participation à des événements d'agence comme les Journées Agence, Petits déj et goûters du jeudi, participation aux évènements de nos communautés UX / UI, Tribu Agile, ou encore à divers évènements sportifs (Ekiden, Trophées de l'Isère / EDF Trophy.) 
- Une ambiance conviviale et bienveillante   
- Un très bon équilibre vie pro / vie perso (flexibilité horaire, plusieurs jours de télétravail possible)   
- Un dispositif de formation adapté à votre montée en compétences   
- Un CSE actif en local et une véritable stratégie RSE   
- Et en plus : Mutuelle avantageuse, prime de participation et intéressement, tickets restaurant de 9€ / Jour pris en charge à 60% par l'employeur, remboursement de l'abonnement transports à 75%.",5 An(s),Salaire brut : A négocier
189KVTX,DATA ARCHITECT (H/F),"Vous possédez une solide expertise dans les technologies de la Data, l'ingénierie et la modélisation des données. Votre grande curiosité technologique et votre capacité avérée à vous adapter rapidement à toutes les évolutions font de vous un professionnel désireux de contribuer au développement d'une nouvelle activité stratégique au sein d'une entreprise axée sur l'innovation et l'ambition. Rejoignez Hardis Group ! 


Au sein de notre entité Services Tech Solutions Grenoble, nous renforçons continuellement nos équipes pour consolider notre savoir-faire en matière de Data. Dans le cadre de l'expansion de notre activité Services, Hardis Group recherche activement un Architecte Data (H/F) pour renforcer nos équipes grenobloises. 

En qualité d'expert, vous interviendrez sur diverses missions telles que le conseil, l'expertise, les audits techniques, la cartographie des processus, la définition de Roadmaps et d'architectures Data (Cloud/On premise), l'aide au choix d'outils, les PoC/MVP, le coaching/formations, etc. Vous pourrez également contribuer aux activités d'avant-vente en étroite collaboration avec notre équipe d'ingénieurs d'affaires. 

Participer au recrutement de jeunes talents data, les qualifier et les guider dans leur plan de carrière sera une part importante de votre rôle. Vous prendrez activement part à leur formation et à leur montée en compétence. Vous serez également impliqué(e) dans la veille technologique et l'innovation, animant la communauté data de Tech Solutions Grenoble avec l'aide de vos pairs et de votre manager. 

En option, vous avez la possibilité d'assumer un rôle de People leader, encadrant directement de 5 à 10 personnes.

Compétences requises : 
- Au moins 8 à 10 ans d'expérience, comprenant des missions techniques et de conseil. 
- Excellente connaissance des architectures Data (Cloud/On premise). 
- Maîtrise d'un ETL et d'un outil de dataviz au minimum. 
- Culture approfondie des différentes modélisations. 
- Importance accordée à l'appartenance à une équipe. 
- Vous êtes à l'aise en anglais et en français, à l'écrit comme à l'oral

Votre autonomie et votre curiosité technique vous permettront de relever de nouveaux défis et d'y apporter des solutions. Le sens de l'écoute et de la communication, ainsi qu'une forte capacité d'adaptation, sont indispensables pour ce poste. Enfin, un esprit d'équipe sera un atout déterminant pour convaincre de votre intégration chez Hardis. 

 

Vous avez lu la description mais il semble vous manquer une ou deux compétences ? C'est aussi notre travail de vous aider à monter en compétence et vous accompagner dans l'évolution de votre carrière.  

De notre côté, en plus de faire partie de cette belle aventure, nous vous proposons :  
- Un poste en CDI, avec une mission de longue durée  
- Un suivi dans votre mission et la perspective d'en avoir de nouvelles en régie ou en agence  
- La participation à des événements d'agence comme nos LABS, nos journées agences trimestrielles, nos soirées d'agence et afterwork !  
- Une ambiance conviviale et bienveillante  
- Un très bon équilibre vie pro / vie perso (flexibilité horaire, 2 à 3 jours de télétravail hebdomadaires possibles)  
- Un dispositif de formation adapté à votre montée en compétences  
- Un CSE actif en local et une véritable stratégie RSE  
- Et en plus : Mutuelle avantageuse, prime de participation et intéressement, tickets restaurant de 9€ / Jour pris en charge à 60% par l'employeur, remboursement de l'abonnement transports à 75%.",8 An(s),Salaire brut : A négocier
189KZNQ,Data engineer (H/F),"IONE Talents & Technology, société de Conseil en Système d'Information avec une forte expertise métier créée par un expert dans le domaine de la data, IONE Talents & Technology c'est surtout un ensemble de consultant.e.s capables d'intervenir à tous les niveaux d'un Système d'Information.

Si vous souhaitez rejoindre une entreprise à taille humaine où chaque employé peut avoir un réel rôle à jouer dans son développement, vous êtes au bon endroit.

Dans le cadre de notre croissance sur la région d'ile de France, nous recrutons actuellement un(e) Data engineer IT en CDI pour pour intervenir chez nos clients dans la mise en place de nouveaux projets.


Profil recherché : 
- Expérience significative dans un environnement Cloud (AWS, Azure, GCP) 
- Pratique confirmée des méthodes Agiles 
 Compétences techniques 
- Maîtrise des langages de programmation : Python 3, Scala, Spark 
- Expertise en technologies Big Data : Hadoop, Kafka, Hive 
- Expérience approfondie des bases de données SQL et NoSQL : PostgreSQL, MongoDB, Cassandra 
- Maîtrise des outils DevOps : Docker, Git, Kubernetes (AKS) 
- Expérience en visualisation de données : Power BI, Tableau, Jupyter 
- La connaissance de Streamlit/Dash et des outils d'infrastructure as code (Terraform, Ansible) est un plus 
- Curiosité intellectuelle et passion pour le traitement des données massives 
- Excellentes capacités de communication en français et en anglais 
- Aptitude à travailler dans un environnement international
- Maîtrise d'un ou plusieurs outils d'alimentation ETL (SSIS,Talend.),

Au-delà de votre formation et de votre expertise, nous recherchons de futurs collaborateurs motivés par la perspective d'intégrer une structure à taille humaine en pleine croissance, exigeante et favorisant l'esprit d'équipe.",Débutant accepté,Salaire brut : Selon Expérience Déplacements : Quotidiens Zone nationale
2093043,Développeur / Développeuse Big Data (H/F),"Nous recherchons pour un client Lyonnais un testeur logiciel pour une mission de 6 mois renouvelable. Vous en aurez en charge les responsabilités suivantes:
Développer et exécuter des plans de tests pour vérifier les fonctionnalités du produit tout en s?assurant qu?elles répondent aux exigences.
Qualifier et prioriser les chemins critiques des tests à couvrir.
Écrire et exécuter des scripts de tests dans un langage adapté.
Identifier, signaler les anomalies et les bugs, et travailler en étroite collaboration avec les développeurs pour les résoudre.
Assurer la qualité des logiciels en effectuant des tests manuels et automatisés.
Collaborer avec les développeurs et le Product Owner (PO) pour résoudre les problèmes liés aux performances et à la sécurité.
Analyser les résultats des tests et préparer des rapports détaillés sur les défauts identifiés, les améliorations nécessaires et les mesures correctives à considérer.
Rédiger la documentation destinée à l?utilisateur final du logiciel ou d?une base de connaissances.",Expérience exigée de 2 An(s),
2094101,Développeur / Développeuse Big Data (H/F),"Role: Data Engineer (Snowflake/BI)
Lieu: Lyon
Duree: 6 mois (renouvelable)
Teletravail: 2-3j par semaine
Date au debut Mars
Principales tâches :
Assumer une responsabilité autonome pour les questions techniques liées à la gestion des données.
Travailler directement avec les équipes commerciales pour comprendre leurs besoins et y répondre efficacement.
Travailler sur les solutions Talend pour le développement et la gestion des flux de données, en option.
Optimiser et industrialiser Snowflake pour garantir des performances optimales.
Concevoir et déployer des rapports analytiques avancés sur Power BI.
Maintenir une veille technologique et proposer des améliorations continues sur l'ensemble du périmètre Data.",Expérience exigée de 2 An(s),
2249384,"Développeur Big Data F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Votre mission :
Vous avez une expertise en Big Data et souhaitez relever un nouveau challenge technique ? Rejoignez un projet stratégique pour concevoir, développer et optimiser des solutions Big Data sur GCP et en environnement on-premise.
Vos responsabilités :
- Développer et qualifier en autonomie les évolutions demandées
- Participer à la qualification métier des nouvelles fonctionnalités
- Accompagner le déploiement sur la plateforme Big Data
- Optimiser les traitements en production et assurer la maintenance corrective
- Adapter et faire évoluer du code existant pour un passage à l'échelle
Stack & Compétences requises :
- Expertise : SQL
- Maîtrise avancée : MySQL, Python, GCP (Workflows, CloudRun, BigQuery, SQL), Scrum
- Maîtrise opérationnelle : Cloud, API (Webservices), DevOps, Linux
Bonus : Une expérience en Data Science et en conception détaillée serait un vrai plus !

Profil recherché:

Profil recherché :
Expérience confirmée de 5 ans minimum dans un rôle similaire. 
Au-delà de vos compétences techniques, votre force de proposition, votre rigueur, votre aisance relationnelle et votre discrétion seront autant d'atouts pour intégrer l'équipe. Nous recherchons un(e) consultant(e) dynamique et proacti(ve)f, ayant l'ambition de s'inscrire dans un projet d'évolution de carrière complet. 
Enfin, vous êtes idéalement titulaire d'un Bac + 5 (université, école d'ingénieur).",Expérience exigée de 5 An(s),
2413738,"Ingénieur Big Data F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Klanik recherche pour l'un de ses clients, un développeur Big Data pour intégrer une équipe qui se compose de plus de quarante compétences, qui a comme périmètre un ensemble de thématiques métiers et une plateforme technique.
MISSIONS ET ROLE
Les missions tournent autour de 4 axes :
* Apporter une expertise en Big Data (Spark) pour faciliter la manipulation des données
* Définir les solutions techniques permettant le traitement massif de données
* Mettre en place des solutions de stockage de données (SQL, NoSQL, etc.)
* Veiller la sécurisation et la clarté des pipelines de données pour faciliter l'analyse et la transformation
 Activités principales 
* Assure la création, la maintenance, l'optimisation et la sécurité des bases de données
* Détecte, propose et suit les optimisations des requêtes SQL, PL/SQL afin de garantir les meilleures performances de nos applications métier
* Assure le support aux équipes de développement afin d'identifier et proposer des solutions performantes SGBD les mieux adaptées d'un point de vue métier
* Apporte une expertise transverse sur Spark
 Activités secondaires : 
* Veille technologique sur les outils utilisés au sein du projet
* Partage et formation sur les guides de bonnes conduites
* Accompagnement des autres développeurs Spark sur le projet

Profil recherché:

Vous êtes titulaire d'un BAC+5 et justifiez d'une première expérience significative sur ce rôle et notamment autour de spark.
Vous faîtes preuve d'autonomie, de rigueur et êtes force de proposition.
Vous avez une bonne capacité d'analyse et de synthèse ainsi qu'un fort esprit d'équipe.
Vous vous reconnaissez dans cette description, n'hésitez pas à postuler !",Expérience exigée de 3 An(s),
2497924,Développeur / Développeuse Big Data (H/F),"Principales responsabilités :
Prendre en charge les aspects techniques de la gestion des données et de l'optimisation du pipeline de données.
Collaborer directement avec les équipes commerciales pour comprendre leurs besoins et fournir des solutions efficaces.
Utiliser Dataiku pour concevoir et améliorer les flux de données.
Créer et déployer des rapports analytiques avancés à l'aide de Power BI.
Structurer et optimiser les flux de données au sein de Dataiku tout en livrant des visualisations pertinentes via Power BI.",Expérience exigée de 2 An(s),
